episode,score,total_reward,epsilon
0,0,-6.899999999999999,1.0
1,0,-7.499999999999998,0.9993466666666667
2,0,-7.499999999999998,0.9986933333333333
3,0,-7.499999999999998,0.99804
4,0,-8.099999999999998,0.9973866666666666
5,0,-4.499999999999998,0.9967333333333334
6,0,-7.499999999999998,0.99608
7,0,-7.499999999999998,0.9954266666666667
8,0,-7.499999999999998,0.9947733333333333
9,0,-6.899999999999999,0.99412
10,0,-8.7,0.9934666666666667
11,0,-8.099999999999998,0.9928133333333333
12,0,-7.499999999999998,0.99216
13,0,-7.499999999999998,0.9915066666666666
14,0,-7.499999999999998,0.9908533333333334
15,0,-6.899999999999999,0.9902
16,0,-8.099999999999998,0.9895466666666667
17,0,-6.899999999999999,0.9888933333333333
18,0,-7.499999999999998,0.98824
19,0,-8.099999999999998,0.9875866666666666
20,0,-5.699999999999998,0.9869333333333333
21,0,-8.7,0.98628
22,0,-8.099999999999998,0.9856266666666667
23,0,-8.099999999999998,0.9849733333333334
24,0,-6.299999999999999,0.98432
25,0,-8.7,0.9836666666666667
26,0,-8.099999999999998,0.9830133333333333
27,0,-6.899999999999999,0.98236
28,0,-6.899999999999999,0.9817066666666666
29,0,-8.099999999999998,0.9810533333333333
30,0,-8.099999999999998,0.9804
31,0,-6.899999999999999,0.9797466666666667
32,0,-6.899999999999999,0.9790933333333334
33,0,-7.499999999999998,0.97844
34,0,-8.099999999999998,0.9777866666666667
35,0,-7.499999999999998,0.9771333333333333
36,0,-6.899999999999999,0.97648
37,0,-6.299999999999999,0.9758266666666666
38,0,-8.099999999999998,0.9751733333333333
39,0,-8.099999999999998,0.97452
40,0,-6.299999999999999,0.9738666666666667
41,0,-8.099999999999998,0.9732133333333334
42,0,-8.099999999999998,0.97256
43,0,-6.899999999999999,0.9719066666666667
44,0,-7.499999999999998,0.9712533333333333
45,0,-7.499999999999998,0.9706
46,0,-6.899999999999999,0.9699466666666666
47,0,-7.499999999999998,0.9692933333333333
48,0,-4.499999999999998,0.96864
49,0,-8.099999999999998,0.9679866666666667
50,0,-8.099999999999998,0.9673333333333334
51,0,-8.099999999999998,0.96668
52,0,-7.499999999999998,0.9660266666666667
